log_header, utc_hhmmss, pos_status, lat, lat_dir, lon, lon_dir, speed_kn, track_true, dt, mag_var, var_dir, checksum
$GPRMC,071711.00,A,4924.782468,N,02141.956318,E,048.5,163.9,030619,,,A*5C
$GPRMC,071712.00,A,4924.769507,N,02141.962028,E,048.8,164.0,030619,,,A*56
$GPRMC,071713.00,A,4924.756332,N,02141.967977,E,049.5,164.0,030619,,,A*51
$GPRMC,071714.00,A,4924.743067,N,02141.973635,E,049.5,163.9,030619,,,A*53
$GPRMC,071715.00,A,4924.729804,N,02141.979513,E,049.7,163.9,030619,,,A*5C
$GPRMC,071716.00,A,4924.716463,N,02141.985515,E,049.9,163.7,030619,,,A*5B
$GPRMC,071717.00,A,4924.703293,N,02141.991620,E,048.6,163.6,030619,,,A*58
$GPRMC,071718.00,A,4924.690344,N,02141.997333,E,048.5,164.0,030619,,,A*54
$GPRMC,071719.00,A,4924.677187,N,02142.002957,E,048.9,164.2,030619,,,A*51
$GPRMC,071720.00,A,4924.663985,N,02142.008262,E,049.1,164.1,030619,,,A*59
$GPRMC,071721.00,A,4924.650732,N,02142.013624,E,049.5,163.9,030619,,,A*5D
$GPRMC,071722.00,A,4924.637456,N,02142.020002,E,050.3,162.5,030619,,,A*5F
$GPRMC,071723.00,A,4924.624022,N,02142.026899,E,051.6,162.4,030619,,,A*52
$GPRMC,071724.00,A,4924.610188,N,02142.034083,E,052.8,162.6,030619,,,A*5C
$GPRMC,071725.00,A,4924.596005,N,02142.041139,E,054.0,162.6,030619,,,A*58
$GPRMC,071726.00,A,4924.581528,N,02142.048525,E,055.7,162.4,030619,,,A*53
$GPRMC,071727.00,A,4924.566646,N,02142.055922,E,056.8,161.7,030619,,,A*5B
$GPRMC,071728.00,A,4924.551330,N,02142.063551,E,059.0,161.6,030619,,,A*5F
$GPRMC,071729.00,A,4924.535512,N,02142.071077,E,060.3,162.3,030619,,,A*57
$GPRMC,071730.00,A,4924.519480,N,02142.078677,E,060.5,161.8,030619,,,A*5A
$GPRMC,071731.00,A,4924.503589,N,02142.087110,E,060.4,161.1,030619,,,A*56
$GPRMC,071732.00,A,4924.487990,N,02142.096333,E,060.1,159.8,030619,,,A*58
$GPRMC,071733.00,A,4924.472208,N,02142.105582,E,061.4,158.8,030619,,,A*5B
$GPRMC,071734.00,A,4924.456319,N,02142.114687,E,060.6,159.3,030619,,,A*54
$GPRMC,071735.00,A,4924.440763,N,02142.124094,E,060.2,159.3,030619,,,A*58
$GPRMC,071736.00,A,4924.425344,N,02142.133360,E,059.3,158.4,030619,,,A*5A
$GPRMC,071737.00,A,4924.409921,N,02142.142553,E,059.4,157.2,030619,,,A*52
$GPRMC,071738.00,A,4924.394778,N,02142.152850,E,059.9,156.2,030619,,,A*5F
$GPRMC,071739.00,A,4924.379626,N,02142.163342,E,059.7,156.5,030619,,,A*54
$GPRMC,071740.00,A,4924.364131,N,02142.173182,E,059.9,157.3,030619,,,A*51
$GPRMC,071741.00,A,4924.348918,N,02142.183200,E,058.4,159.2,030619,,,A*58
$GPRMC,071742.00,A,4924.333331,N,02142.191373,E,059.5,162.2,030619,,,A*58
$GPRMC,071743.00,A,4924.317437,N,02142.198101,E,059.0,165.4,030619,,,A*54
$GPRMC,071744.00,A,4924.300976,N,02142.203668,E,061.9,167.7,030619,,,A*57
$GPRMC,071745.00,A,4924.284141,N,02142.208500,E,061.4,170.1,030619,,,A*5C
$GPRMC,071746.00,A,4924.267521,N,02142.213261,E,059.1,172.6,030619,,,A*51
$GPRMC,071747.00,A,4924.251391,N,02142.215825,E,056.5,175.9,030619,,,A*57
$GPRMC,071748.00,A,4924.235548,N,02142.217344,E,057.2,177.5,030619,,,A*5E
$GPRMC,071749.00,A,4924.219591,N,02142.217718,E,057.1,179.8,030619,,,A*58
$GPRMC,071750.00,A,4924.203598,N,02142.217432,E,056.8,182.5,030619,,,A*58
$GPRMC,071751.00,A,4924.187727,N,02142.215257,E,056.6,184.4,030619,,,A*5E
$GPRMC,071752.00,A,4924.171894,N,02142.212425,E,057.4,187.0,030619,,,A*53
$GPRMC,071753.00,A,4924.155948,N,02142.209048,E,057.8,187.3,030619,,,A*5E
$GPRMC,071754.00,A,4924.140050,N,02142.206312,E,057.7,187.7,030619,,,A*55
$GPRMC,071755.00,A,4924.124152,N,02142.203206,E,057.6,188.2,030619,,,A*5F
$GPRMC,071756.00,A,4924.107998,N,02142.198792,E,059.0,189.3,030619,,,A*52
$GPRMC,071757.00,A,4924.091351,N,02142.194009,E,061.8,189.8,030619,,,A*53
